!,,,,,,,,,,,,+++,,,,,,+++,+++,+++,,,,,
@@,person_id,family_name,first_name,name_lang,sex,rustication,birthyear,deathyear,alt_name,place_of_birth,social_position,narrative_age,neibu_access,source_1,page_1,source_2,page_2,fictionality,narrative_status,commentary,note,created,created_by,last_modified,last_modified_by
+++,P0434,Gao,Mobo,en,male,unknown,1952,,Gao Changfang,PL0310,S03,,unknown,https://en.wikipedia.org/wiki/Gao_Mobo,ONLINE SOURCE,,,,,,,2018-08-06,DM,2018-08-06,DM
+++,P0434,高,默波,zh,male,unknown,1952,,高常范,PL0310,S03,,unknown,https://en.wikipedia.org/wiki/Gao_Mobo,ONLINE SOURCE,,,,,,,2018-08-06,DM,2018-08-06,DM
,AG0397,Shi,Tao,en,male,0,1642,1707,,SP0298,,,,https://zh.wikipedia.org/wiki/%E7%9F%B3%E6%B6%9B,ONLINE SOURCE,,,,,,,2018-08-06,DM,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,AG0506,Gong,Sasha,en,female,1,1956,XXXX,,SP0005,,,,W0511,,,,,,,,2018-10-16,LH,2020-04-02,DP
:,AG0108,Ke,Xiong,en,unknown,3,XXXX,XXXX,,SP0436,S00,,unknown,https://baike.baidu.com/item/%E8%8B%8F%E8%81%94%E5%9B%BD%E5%86%85%E8%B5%84%E6%9C%AC%E4%B8%BB%E4%B9%89%E5%A4%8D%E8%BE%9F%E7%BA%AA%E4%BA%8B(1953-1973)/15261360,,,,,,,,2018-11-04,WH,2020-04-02,DP
:,AG0108,柯,雄,zh,unknown,3,XXXX,XXXX,,SP0436,S00,,unknown,https://baike.baidu.com/item/%E8%8B%8F%E8%81%94%E5%9B%BD%E5%86%85%E8%B5%84%E6%9C%AC%E4%B8%BB%E4%B9%89%E5%A4%8D%E8%BE%9F%E7%BA%AA%E4%BA%8B(1953-1973)/15261360,,,,,,,,2018-11-04,WH,2020-04-02,DP
,AG0507,Xue,Shanggong,en,male,0,XXXX,XXXX,,SP0099,,,,https://zh.wikipedia.org/wiki/%E8%96%9B%E5%B0%9A%E5%8A%9F,,,,,,,,2018-11-04,WH,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,AG0516,胡,耀邦,zh,male,0,1915,1989,,SP0380,S01,,,https://zh.wikipedia.org/wiki/%E8%83%A1%E8%80%80%E9%82%A6,,,,,,,,2018-11-04,WH,2020-04-02,DP
+++,P0711,Gao,Mobo,en,male,no,1952,,Gao Changfan,PL0509,NULL,,NULL,https://en.wikipedia.org/wiki/Gao_Mobo,,,,,,,,2018-11-04,WH,2018-11-04,WH
+++,P0711,高,默波,zh,male,no,1952,,高常范,PL0509,NULL,,NULL,https://en.wikipedia.org/wiki/Gao_Mobo,,,,,,,,2018-11-04,WH,2018-11-04,WH
,AG0518,Wang,Anyi,en,female,1,1954,XXXX,,SP0093,,,,https://zh.wikipedia.org/wiki/%E7%8E%8B%E5%AE%89%E6%86%B6,,,,,,,,2018-11-06,WH,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,AG0618,曲,波,zh,male,3,1923,2002,,SP0108,,,unknown,https://en.wikipedia.org/wiki/Qu_Bo_(writer),,,,,,,,2019-03-08,MG,2020-04-02,DP
+++,P0813,Qu,Yuan,en,male,NULL,-0340,-0278,Lingjun,PL0415,NULL,,NULL,https://en.wikipedia.org/wiki/Qu_Yuan,,,,,,,,2019-03-08,MG,2019-03-08,MG
+++,P0813,屈,原,zh,male,NULL,-0340,-0278,灵均,PL0415,NULL,,NULL,https://en.wikipedia.org/wiki/Qu_Yuan,,,,,,,,2019-03-08,MG,2019-03-08,MG
,AG0620,Qu,Qiubai,en,male,0,1899,1935,,SP0106,,,,https://en.wikipedia.org/wiki/Qu_Qiubai,,,,,,,,2019-03-08,MG,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,AG0621,托马斯,狄兰,zh,male,0,1914,1953,,SP0371,,,,https://en.wikipedia.org/wiki/Dylan_Thomas,,,,,,,,2019-03-09,MG,2020-04-02,DP
+++,P0850,Jin,Fan,en,female,unknown,unknown,unknown,Liu Qingfeng,,NULL,,,http://www.baike.com/wiki/靳凡%5B作家%5D,ONLINE SOURCE,,,,,,,2019-03-12,LH,2019-10-13,DP
+++,P0850,靳,凡,zh,female,unknown,unknown,unknown,刘青峰,,NULL,,,http://www.baike.com/wiki/靳凡%5B作家%5D,ONLINE SOURCE,,,,,,,2019-03-12,LH,2019-10-13,DP
,AG0622,Li,Zhengtian,en,male,2,1942,XXXX,,SP0432,,,,https://zh.wikipedia.org/wiki/%E6%9D%8E%E6%AD%A3%E5%A4%A9,,,,,,He was a member of P0807.,,2019-03-24,WH,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,AG0626,无名,,zh,unknown,0,XXXX,XXXX,,SP0436,,,,W0414,,,,,,,,2017-11-07,DP,2020-04-02,DP
+++,P1000,anon,真真,zh,female,yes,unknown,unknown,NULL,PL0999,NULL,,NULL,SS00262,4-67,,,F,,FICTIONAL CHARACTER,,2019-03-12,LH,2019-10-13,DP
+++,P1000,anon,Zhenzhen,zh-Latn-py,female,yes,unknown,unknown,NULL,PL0999,NULL,,NULL,SS00262,4-67,,,F,,FICTIONAL CHARACTER,,2019-03-12,LH,2019-10-13,DP
+++,P1001,anon,老嘎,zh,male,yes,unknown,unknown,NULL,PL0999,NULL,,NULL,SS00262,4-67,,,F,,FICTIONAL CHARACTER,,2019-03-12,LH,2019-10-13,DP
+++,P1001,anon,Lao Ga,zh-Latn-py,male,yes,unknown,unknown,NULL,PL0999,NULL,,NULL,SS00262,4-67,,,F,,FICTIONAL CHARACTER,,2019-03-12,LH,2019-10-13,DP
+++,P1002,anon,老久,zh,male,yes,unknown,unknown,NULL,PL0999,NULL,,NULL,SS00262,4-67,,,F,,FICTIONAL CHARACTER,,2019-03-12,LH,2019-10-13,DP
+++,P1002,anon,Lao Jiu,zh-Latn-py,male,yes,unknown,unknown,NULL,PL0999,NULL,,NULL,SS00262,4-67,,,F,,FICTIONAL CHARACTER,,2019-03-12,LH,2019-10-13,DP
+++,P1003,Dai,Sijie,en,male,yes,1954,,NULL,PL0004,S03,,,https://en.wikipedia.org/wiki/Dai_Sijie,ONLINE SOURCE,,,,,,,2019-07-30,MG,2019-07-30,MG
+++,P1003,戴,思杰,zh,male,yes,1954,,NULL,PL0004,S03,,,https://en.wikipedia.org/wiki/Dai_Sijie,ONLINE SOURCE,,,,,,,2019-07-30,MG,2019-07-30,MG
+++,P1004,anon,Luo,zh-Latn-py,male,yes,1953~,,NULL,PL0004,,2,,SS00263,10ff,,,F,S03,,,2019-07-30,MG,2019-07-30,MG
+++,P1005,anon,anon,en,male,yes,1954~,,NULL,PL0004,,2,,SS00263,10ff,,,F,S03,No name mentioned. Protagonist and narrator of the novel,,2019-07-30,MG,2019-07-30,MG
+++,P1006,anon,anon,fr,female,no,1953..1956~,,La Petite Tailleuse Chinoise,PL0006,,2,,SS00263,,,,F,S08,,,2019-07-30,MG,2019-07-30,MG
+++,P1007,anon,anon,fr,male,yes,1950..1954~,,Le Binoclard,PL0999,,2,,SS00263,,,,F,S03,,,2019-07-30,MG,2019-10-13,DP
+++,P1008,anon,anon,en,male,no,19XX,,Le Vieux Meunier,PL0006,,3,,SS00263,141-144,,,F,S08,,,2019-08-03,MG,2019-10-13,DP
+++,P1009,anon,anon,en,male,no,19XX,,Le Tailleur,PL0006,,3,,SS00263,28,,,F,S08,,,2019-08-03,MG,2019-10-13,DP
+++,P1010,anon,anon,en,female,no,19XX,,NULL,PL0006,,3,,SS00263,56,,,F,S03,Luo‘s aunt,,2019-08-03,MG,2019-10-13,DP
+++,P1011,anon,anon,en,female,no,19XX,,NULL,PL0999,,3,,SS00263,92f,,,F,S03,Le Binoclard‘s mother,,2019-08-03,MG,2019-10-13,DP
+++,P1012,Melville,Herman,en,male,NULL,1819,1891,NULL,PL0050,,,,https://en.wikipedia.org/wiki/Herman_Melville,ONLINE SOURCE,,,,,,,2019-08-03,MG,2019-09-12,MG
+++,P1012,梅尔维尔,赫尔曼,zh,male,NULL,1819,1891,NULL,PL0050,,,,https://en.wikipedia.org/wiki/Herman_Melville,ONLINE SOURCE,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,P1013,Defoe,Daniel,en,male,NULL,1659..1660,1731,NULL,PL0036,,,,https://en.wikipedia.org/wiki/Daniel_Defoe,ONLINE SOURCE,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,P1013,笛福,丹尼尔,zh,male,NULL,1659..1660,1731,NULL,PL0036,,,,https://en.wikipedia.org/wiki/Daniel_Defoe,ONLINE SOURCE,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,P1014,Cervantes,Miguel de,ep,male,NULL,1547,1616,NULL,PL0600,,,,https://en.wikipedia.org/wiki/Miguel_de_Cervantes,ONLINE SOURCE,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,P1014,塞万提斯,米格尔 德,zh,male,NULL,1547,1616,NULL,PL0600,,,,https://en.wikipedia.org/wiki/Miguel_de_Cervantes,ONLINE SOURCE,,,,,,,2019-09-12,MG,2019-09-12,MG
