!,,,,,,,,,,,,+++,,,,,,+++,+++,+++,,,,,
@@,person_id,family_name,first_name,name_lang,sex,rustication,birthyear,deathyear,alt_name,place_of_birth,social_position,narrative_age,neibu_access,source_1,page_1,source_2,page_2,fictionality,narrative_status,commentary,note,created,created_by,last_modified,last_modified_by
+++,P1043,Yue,Fei,en,male,NULL,1103,1142,Pengju,PL0606,,,,https://en.wikipedia.org/wiki/Yue_Fei,ONLINE SOURCE,,,,,,,2019-12-12,MG,2019-12-12,MG
+++,P1043,岳,飞,zh,male,NULL,1103,1142,NULL,PL0606,,,,https://en.wikipedia.org/wiki/Yue_Fei,ONLINE SOURCE,,,,,,,2019-12-12,MG,2019-12-12,MG
+++,P1044,Shi,Kefa,en,male,NULL,1601,1645,Zhongzheng,PL0607,,,,https://en.wikipedia.org/wiki/Shi_Kefa,ONLINE SOURCE,,,,,,,2019-12-12,MG,2019-12-12,MG
+++,P1044,史,可法,zh,male,NULL,1601,1645,忠正,PL0607,,,,https://en.wikipedia.org/wiki/Shi_Kefa,ONLINE SOURCE,,,,,,,2019-12-12,MG,2019-12-12,MG
+++,P1045,Callaghan,Morley,en,male,NULL,1903,1990,NULL,PL0608,,,,https://en.wikipedia.org/wiki/Morley_Callaghan,ONLINE SOURCE,,,,,,,2019-12-12,MG,2019-12-12,MG
+++,P1045,卡拉汉,莫利,zh,male,NULL,1903,1990,NULL,PL0608,,,,https://en.wikipedia.org/wiki/Morley_Callaghan,ONLINE SOURCE,,,,,,,2019-12-12,MG,2020-02-06,MG
+++,P1046,Daudet,Alphonse,fr,male,NULL,1840,1897,NULL,PL0609,,,,https://en.wikipedia.org/wiki/Alphonse_Daudet,ONLINE SOURCE,,,,,,,2019-12-12,MG,2019-12-12,MG
+++,P1046,都德,阿尔封斯,zh,male,NULL,1840,1897,NULL,PL0609,,,,https://en.wikipedia.org/wiki/Alphonse_Daudet,ONLINE SOURCE,,,,,,,2019-12-12,MG,2019-12-12,MG
+++,P1047,Serafimovich,Alexander,en,male,NULL,1863,1949,NULL,PL0610,,,,https://en.wikipedia.org/wiki/Alexander_Serafimovich,ONLINE SOURCE,,,,,,,2019-12-17,MG,2019-12-17,MG
+++,P1047,Серафимо́вич,Алекса́ндр,ru,male,NULL,1863,1949,NULL,PL0610,,,,https://en.wikipedia.org/wiki/Alexander_Serafimovich,ONLINE SOURCE,,,,,,,2019-12-17,MG,2019-12-17,MG
+++,P1047,绥拉菲莫维奇,亚历山大,zh,male,NULL,1863,1949,NULL,PL0610,,,,https://en.wikipedia.org/wiki/Alexander_Serafimovich,ONLINE SOURCE,,,,,,,2019-12-17,MG,2020-01-06,MG
+++,P1048,Wilde,Oscar,en,male,NULL,1854,1900,NULL,PL0611,,,,https://en.wikipedia.org/wiki/Oscar_Wilde,ONLINE SOURCE,,,,,,,2020-01-06,MG,2020-01-06,MG
+++,P1048,王尔德,奥斯卡,zh,male,NULL,1854,1900,NULL,PL0611,,,,https://en.wikipedia.org/wiki/Oscar_Wilde,ONLINE SOURCE,,,,,,,2020-01-06,MG,2020-01-06,MG
+++,P1049,Cao,Mengde,en,male,NULL,-0155,-0220,Cao Cao,,,,,https://en.wikipedia.org/wiki/Cao_Cao,ONLINE SOURCE,,,,,,,2020-01-08,MG,2020-01-08,MG
+++,P1049,曹,孟德,zh,male,NULL,-0155,-0220,曹操,,,,,https://en.wikipedia.org/wiki/Cao_Cao,ONLINE SOURCE,,,,,,,2020-01-08,MG,2020-01-08,MG
+++,P1050,Vlassova,Pelageya,en,female,NULL,1860..1875,1860..1875,NULL,PL0999,,0,,PS00827,,,,F,N06,,,2020-01-08,MG,2020-05-20,MG
+++,P1051,Zhou,Enlai,en,male,no,1898,1976,NULL,PL0545,,,,https://en.wikipedia.org/wiki/Zhou_Enlai,ONLINE SOURCE,,,,,,,2020-01-08,MG,2020-01-08,MG
+++,P1051,周,恩来,zh,male,no,1898,1976,NULL,PL0545,,,,https://en.wikipedia.org/wiki/Zhou_Enlai,ONLINE SOURCE,,,,,,,2020-01-08,MG,2020-01-08,MG
+++,P1052,Jean-Baptiste,Poquelin,fr,male,NULL,1622,1673,Molière,PL0047,,,,https://en.wikipedia.org/wiki/Moli%C3%A8re,ONLINE SOURCE,,,,,,,2020-01-15,MG,2020-01-15,MG
+++,P1052,本名为让-巴蒂斯特,波克兰,zh,male,NULL,1622,1673,莫里哀,PL0047,,,,https://en.wikipedia.org/wiki/Moli%C3%A8re,ONLINE SOURCE,,,,,,,2020-01-15,MG,2020-01-15,MG
+++,P1053,Nassau,William Senior,en,male,NULL,1790,1864,NULL,PL0612,,,,https://en.wikipedia.org/wiki/Nassau_William_Senior,ONLINE SOURCE,,,,,,,2020-01-15,MG,2020-01-15,MG
+++,P1053,纳骚,威·西尼尔,zh,male,NULL,1790,1864,NULL,PL0612,,,,https://en.wikipedia.org/wiki/Nassau_William_Senior,ONLINE SOURCE,,,,,,,2020-01-15,MG,2020-01-15,MG
+++,P1054,Qiu,Jin,en,female,NULL,1875,1907,Xuanqing,PL0613,,,,https://en.wikipedia.org/wiki/Qiu_Jin,ONLINE SOURCE,,,,,,,2020-02-01,MG,2020-02-01,MG
+++,P1054,秋,瑾,zh,female,NULL,1875,1907,璿卿,PL0613,,,,https://en.wikipedia.org/wiki/Qiu_Jin,ONLINE SOURCE,,,,,,,2020-02-01,MG,2020-02-01,MG
+++,P1055,Li,Min,en,male,NULL,0645,0714,NULL,PL0614,,,,https://baike.baidu.com/item/%E6%9D%8E%E5%B3%A4/58287,ONLINE SOURCE,,,,,,,2020-02-06,MG,2020-02-06,MG
+++,P1055,李,峤,zh,male,NULL,0645,0714,NULL,PL0614,,,,https://baike.baidu.com/item/%E6%9D%8E%E5%B3%A4/58287,ONLINE SOURCE,,,,,,,2020-02-06,MG,2020-02-06,MG
+++,P1056,Wu,Yuping,en,unknown,NULL,1900..1930~,,NULL,PL0999,,0,,SS00600,,,,F,,,,2020-02-13,MG,2020-05-20,MG
+++,P1057,Liu,Cixin,en,male,NULL,1963,,NULL,PL0615,,,,https://en.wikipedia.org/wiki/Liu_Cixin,ONLINE SOURCE,,,,,,,2020-02-14,MG,2020-02-14,MG
+++,P1057,刘,慈欣,zh,male,NULL,1963,,NULL,PL0615,,,,https://en.wikipedia.org/wiki/Liu_Cixin,ONLINE SOURCE,,,,,,,2020-02-14,MG,2020-02-14,MG
+++,P1058,Wang,Miao,en,male,NULL,1955..1965~,,NULL,PL0999,,2,,SS00601,,,,F,N06,,,2020-02-14,MG,2020-05-20,MG
+++,P1058,汪,淼,zh,male,NULL,1955..1965~,,NULL,PL0999,,2,,SS00601,,,,F,N06,,,2020-02-14,MG,2020-05-20,MG
+++,P1059,Ye,Wenjie,en,female,NULL,1955..1965~,,NULL,PL0999,,2,,SS00601,,,,F,N06,,,2020-02-14,MG,2020-05-20,MG
+++,P1059,叶,文洁,zh,female,NULL,1955..1965~,,NULL,PL0999,,2,,SS00601,,,,F,N06,,,2020-02-14,MG,2020-05-20,MG
+++,P1060,Bai,Mulin,en,male,NULL,1955..1965~,,NULL,PL0999,,2,,SS00601,,,,F,N07,,,2020-02-14,MG,2020-05-20,MG
+++,P1061,Ye,Zhetai,en,male,no,1930..1940~,1966..1976~,NULL,PL0999,S03,3,,SS00601,,,,F,N07,,,2020-02-14,MG,2020-05-20,MG
+++,P1061,叶,哲泰,zh,male,no,1930..1940~,1966..1976~,NULL,PL0999,S03,3,,SS00601,,,,F,N07,,,2020-02-14,MG,2020-05-20,MG
+++,P1062,Stanton,anon,en,male,NULL,1930..1940~,,Colonel Stanton,PL0999,S05,3,,SS00601,,,,F,N07,,,2020-02-14,MG,2020-05-20,MG
+++,P1062,斯坦顿,anon,zh,male,NULL,1930..1940~,,NULL,PL0999,S05,3,,SS00601,,,,F,N07,,,2020-02-14,MG,2020-05-20,MG
+++,P1063,Carson,Rachel,en,female,NULL,1907,1964,NULL,PL0616,,,,https://en.wikipedia.org/wiki/Rachel_Carson,ONLINE SOURCE,,,,,,,2020-02-14,MG,2020-02-14,MG
+++,P1064,Wang,Yisheng,en,male,yes,1940..1950~,,Chess Fool,PL0999,,2,,SS00602,,,,F,N07,,,2020-05-16,MG,2020-05-20,MG
+++,P1064,王,一生,zh,male,yes,1940..1950~,,NULL,PL0999,,2,,SS00602,,,,F,N07,,,2020-05-16,MG,2020-05-20,MG
+++,P1065,anon,anon,en,male,yes,1940..1950~,,NULL,PL0999,,2,,SS00602,,,,F,N06,,,2020-05-19,MG,2020-05-20,MG
+++,P1066,Xiang,Yu,en,male,NULL,-0202,-0232,NULL,PL0617,,,,https://en.wikipedia.org/wiki/Xiang_Yu,ONLINE SOURCE,,,,,,,2020-05-25,MG,2020-05-25,MG
+++,P1066,项,羽,zh,male,NULL,-0202,-0232,NULL,PL0617,,,,https://en.wikipedia.org/wiki/Xiang_Yu,ONLINE SOURCE,,,,,,,2020-05-25,MG,2020-06-27,MG
+++,P1067,Liu,Bang,en,male,NULL,'-0256~,-0195,NULL,PL0618,,,,https://en.wikipedia.org/wiki/Emperor_Gaozu_of_Han,ONLINE SOURCE,,,,,,,2020-05-25,MG,2020-05-25,MG
+++,P1067,劉,邦,zh,male,NULL,'-0256~,-0195,NULL,PL0618,,,,https://en.wikipedia.org/wiki/Emperor_Gaozu_of_Han,ONLINE SOURCE,,,,,,,2020-05-25,MG,2020-05-25,MG
+++,P1068,anon,anon,en,male,yes,1950..1959~,,NULL,PL0999,,2,,SS00604,,,,F,N06,,,2020-05-26,MG,2020-06-04,MG
+++,P1069,Chen,anon,en,male,unknown,1930..1950~,,NULL,PL0999,,2,,SS00604,,,,F,N07,,,2020-05-26,MG,2020-06-04,MG
+++,P1070,Wang,Fu,en,male,no,1960..1969~,,NULL,PL0999,S08,1,,SS00604,,,,F,N07,,,2020-05-28,MG,2020-06-04,MG
+++,P1071,anon,anon,en,unknown,no,1930..1950~,,Party Secretary,PL0999,,2,,SS00604,,,,F,N07,,,2020-05-28,MG,2020-06-04,MG
+++,P1072,Wang,Qitong,en,male,no,1930..1950~,,Loose Shit,PL0999,S08,3,,SS00604,,,,F,,He is known for being a hard-working guy but laughed and treated badly because he is a mute,,2020-05-28,MG,2020-06-04,MG
+++,P1073,anon,Laidi,en,female,unknown,1950..1959~,,NULL,PL0999,,2,,SS00604,,,,F,N07,,,2020-05-28,MG,2020-06-04,MG
+++,P1074,Wei,Jiangong,en,male,NULL,1901,1980,NULL,PL0619,,,,https://zh.wikipedia.org/wiki/%E9%AD%8F%E5%BB%BA%E5%8A%9F,ONLINE SOURCE,,,,,,,2020-05-28,MG,2020-05-28,MG
+++,P1074,魏,建功,zh,male,NULL,1901,1980,NULL,PL0619,,,,https://zh.wikipedia.org/wiki/%E9%AD%8F%E5%BB%BA%E5%8A%9F,ONLINE SOURCE,,,,,,,2020-05-28,MG,2020-05-28,MG
+++,P1075,Li,Tiemei,en,female,NULL,1930..1950~,,NULL,PL0999,,2,,AW00084,,,,F,N07,,,2020-05-28,MG,2020-06-04,MG
+++,P1075,李,铁梅,zh,female,NULL,1930..1950~,,NULL,PL0999,,2,,AW00084,,,,F,N07,,,2020-05-28,MG,2020-06-04,MG
+++,P1076,anon,anon,en,male,yes,1940..1950~,,NULL,PL0999,,2,,SS00605,,,,F,N06,,,2020-06-18,MG,2020-06-18,MG
+++,P1077,Li,Li,en,male,yes,1940..1950~,,NULL,PL0999,,2,,SS00605,,,,F,N07,,,2020-06-18,MG,2020-06-18,MG
+++,P1078,anon,Knotty,en,male,no,1930..1940~,,NULL,PL0999,,3,,SS00605,,,,F,N07,,,2020-06-18,MG,2020-06-18,MG
+++,P1079,anon,Six Claws,en,male,no,1940..1950~,,NULL,PL0999,,2,,SS00605,,,,F,N07,,,2020-06-18,MG,2020-06-18,MG
+++,P1080,anon,anon,en,unknown,no,1930..1940~,,Party Secretary,PL0999,,3,,SS00605,,,,F,,,,2020-06-18,MG,2020-06-18,MG
+++,P1081,Lin,Biao,en,male,NULL,1907,1971,NULL,PL0630,,,,https://en.wikipedia.org/wiki/Lin_Biao,ONLINE SOURCE,,,,,,,2020-06-18,MG,2020-06-18,MG
+++,P1081,林,彪,zh,male,NULL,1907,1971,NULL,PL0630,,,,https://en.wikipedia.org/wiki/Lin_Biao,ONLINE SOURCE,,,,,,,2020-06-18,MG,2020-06-18,MG
+++,P1082,Wagner,Rudolf G.,de,male,NULL,1941,2019,NULL,PL0635,,,,https://en.wikipedia.org/wiki/Rudolf_G._Wagner,ONLINE SOURCE,,,,,,,2020-06-29,MG,2020-06-29,MG
+++,P1082,瓦格納,魯道夫,zh,male,NULL,1941,2019,NULL,PL0635,,,,https://en.wikipedia.org/wiki/Rudolf_G._Wagner,ONLINE SOURCE,,,,,,,2020-06-29,MG,2020-06-29,MG
+++,P1083,Zheng,Yi,en,male,yes,1947,,NULL,PL0012,,,,https://baike.baidu.com/item/%E9%83%91%E4%B9%89/3300981,ONLINE SOURCE,,,,,,,2020-06-29,MG,2020-06-29,MG
+++,P1083,郑,义,zh,male,yes,1947,,NULL,PL0012,,,,https://baike.baidu.com/item/%E9%83%91%E4%B9%89/3300981,ONLINE SOURCE,,,,,,,2020-06-29,MG,2020-06-29,MG
+++,P1084,Lu,Danfeng,en,female,NULL,1945..1950~,1967~,,PL0999,,2,,SS00606,,,,F,N07,,,2020-06-29,MG,2020-06-29,MG
+++,P1084,卢,丹枫,zh,female,NULL,1945..1950~,1967~,,PL0999,,2,,SS00606,,,,F,N07,,,2020-06-29,MG,2020-06-29,MG
+++,P1085,Li,Honggang,en,male,NULL,1945..1950~,1969~,,PL0999,,2,,SS00606,,,,F,N07,,,2020-06-29,MG,2020-06-29,MG
+++,P1085,李,红刚,zh,male,NULL,1945..1950~,1969~,,PL0999,,2,,SS00606,,,,F,N07,,,2020-06-29,MG,2020-06-29,MG
+++,P1086,Wang,anon,en,male,NULL,1940..1950~,,Teacher Wang,PL0999,,2,,SS00606,,,,F,,,,2020-06-29,MG,2020-06-29,MG
+++,P1087,Jiang,Qing,en,female,NULL,1914,1991,NULL,PL0636,,,,https://en.wikipedia.org/wiki/Jiang_Qing,ONLINE SOURCE,,,,,,,2020-06-30,MG,2020-06-30,MG
+++,P1087,江,青,zh,female,NULL,1914,1991,NULL,PL0636,,,,https://en.wikipedia.org/wiki/Jiang_Qing,ONLINE SOURCE,,,,,,,2020-06-30,MG,2020-06-30,MG
+++,P1088,Lin,Zhen,en,male,NULL,1930..1935~,,NULL,PL0999,,2,,SS00608,,,,F,N06,He seems to have incorporated notions of what a Socialist hero should be like (SS00608; German edition p.92-93),please add the Chinese characters,2020-08-07,MG,2021-01-18,MG
+++,P1089,Zhao,Huiwen,en,female,NULL,1930..1935~,,NULL,PL0999,,2,,SS00608,,,,F,N07,,please add the Chinese characters,2020-08-07,MG,2021-01-16,MG
+++,P1090,Liu,Shiwu,en,male,NULL,1900~,,NULL,PL0999,,3,,SS00608,,,,F,,,please add the Chinese characters,2020-08-07,MG,2021-01-16,MG
+++,P1091,Wang,Meng,en,male,no,1934,,NULL,PL0002,,,,https://en.wikipedia.org/wiki/Wang_Meng_(author),ONLINE SOURCE,,,,,,,2020-08-07,MG,2020-08-07,MG
+++,P1091,王,蒙,zh,male,no,1934,,NULL,PL0002,,,,https://en.wikipedia.org/wiki/Wang_Meng_(author),ONLINE SOURCE,,,,,,,2020-08-07,MG,2020-08-07,MG
+++,P1092,Kubin,Wolfgang,de,male,NULL,1945,,NULL,PL0637,,,,https://en.wikipedia.org/wiki/Wolfgang_Kubin,ONLINE SOURCE,,,,,,,2020-08-07,MG,2020-08-07,MG
+++,P1092,顾彬,,zh,male,NULL,1945,,NULL,PL0637,,,,https://en.wikipedia.org/wiki/Wolfgang_Kubin,ONLINE SOURCE,,,,,,,2020-08-07,MG,2020-08-07,MG
+++,P1093,Nikolaeva,Galina,en,female,NULL,1911,1963,NULL,PL0638,,,,http://experimental.worldcat.org/idnetwork/display.html?query=lccn-n84026923,ONLINE SOURCE,,,,,,,2021-01-16,MG,2021-01-16,MG
+++,P1093,Николаева,Галина,ru,female,NULL,1911,1963,NULL,PL0638,,,,http://experimental.worldcat.org/idnetwork/display.html?query=lccn-n84026923,ONLINE SOURCE,,,,,,,2021-01-16,MG,2021-01-16,MG
+++,P1093,尼古拉耶娃著,迦林娜,zh,female,NULL,1911,1963,NULL,PL0638,,,,http://experimental.worldcat.org/idnetwork/display.html?query=lccn-n84026923,ONLINE SOURCE,,,,,,,2021-01-16,MG,2021-01-18,MG
+++,P1094,Wei,Yahua,en,male,no,1949,,NULL,PL0182,,,,https://baike.baidu.com/item/%E9%AD%8F%E9%9B%85%E5%8D%8E,ONLINE SOURCE,,,,,,,2021-02-24,MG,2021-03-08,MG
+++,P1094,魏,雅华,zh,male,no,1949,,NULL,PL0182,,,,https://baike.baidu.com/item/%E9%AD%8F%E9%9B%85%E5%8D%8E,ONLINE SOURCE,,,,,,,2021-03-08,MG,2021-03-08,MG
+++,P1095,Dunsing,Charlotte,en,female,NULL,1900..1950~,,NULL,PL0999,,,,https://worldcat.org/identities/viaf-2313425/,ONLINE SOURCE,,,,,,,2021-02-24,MG,2021-04-05,MG
+++,P1095,Dunsing,夏洛特,zh,female,NULL,1900..1950~,,NULL,PL0999,,,,https://worldcat.org/identities/viaf-2313425/,ONLINE SOURCE,,,,,,,2021-03-08,MG,2021-04-05,MG
+++,P1096,Ye,Yonglie,en,male,NULL,1940,2020,NULL,PL0641,,,,https://en.wikipedia.org/wiki/Ye_Yonglie,ONLINE SOURCE,,,,,,,2021-02-24,MG,2021-03-08,MG
+++,P1096,叶,永烈,zh,male,NULL,1940,2020,NULL,PL0641,,,,https://en.wikipedia.org/wiki/Ye_Yonglie,ONLINE SOURCE,,,,,,,2021-02-25,MG,2021-03-08,MG
+++,P1097,Tong,Enzheng,en,male,NULL,1935,1997,NULL,PL0642,,,,https://en.wikipedia.org/wiki/Tong_Enzheng,ONLINE SOURCE,,,,,,,2021-02-24,MG,2021-03-08,MG
+++,P1097,童,恩正,zh,male,NULL,1935,1997,NULL,PL0642,,,,https://en.wikipedia.org/wiki/Tong_Enzheng,ONLINE SOURCE,,,,,,,2021-02-24,MG,2021-03-08,MG
+++,P1098,Liu,Zhaogui,en,male,NULL,1933,,NULL,PL0646,,,,"https://books.stoecker.eu/lang/de/author/Liu,%20Zhaogui",ONLINE SOURCE,,,,,,,2021-02-24,MG,2021-03-10,MG
+++,P1098,刘,肇贵,zh,male,NULL,1933,,NULL,PL0646,,,,"https://books.stoecker.eu/lang/de/author/Liu,%20Zhaogui",ONLINE SOURCE,,,,,,,2021-03-08,MG,2021-03-10,MG
+++,P1099,Wang,Xiaoda,en,male,NULL,1939,2021,NULL,PL0082,,,,https://baike.baidu.com/item/%E7%8E%8B%E6%99%93%E8%BE%BE/6926369,ONLINE SOURCE,,,,,,,2021-02-24,MG,2021-03-09,MG
+++,P1099,王,晓达,zh,male,NULL,1939,2021,NULL,PL0082,,,,https://baike.baidu.com/item/%E7%8E%8B%E6%99%93%E8%BE%BE/6926369,ONLINE SOURCE,,,,,,,2021-03-09,MG,2021-03-09,MG
+++,P1100,Xiao,Jianheng,en,male,NULL,1930,,NULL,PL0999,,,,https://baike.baidu.com/item/%E8%82%96%E5%BB%BA%E4%BA%A8,ONLINE SOURCE,,,,,,,2021-02-24,MG,2021-03-09,MG
+++,P1100,肖,建亨,zh,male,NULL,1930,,NULL,PL0999,,,,https://baike.baidu.com/item/%E8%82%96%E5%BB%BA%E4%BA%A8,ONLINE SOURCE,,,,,,,2021-03-04,MG,2021-03-09,MG
+++,P1101,Gu,Junzheng,en,male,NULL,1902,1980,NULL,PL0643,,,,http://sf-encyclopedia.com/entry/gu_junzheng,ONLINE SOURCE,,,,,,,2021-02-24,MG,2021-03-08,MG
+++,P1101,顾,均正,zh,male,NULL,1902,1980,NULL,PL0643,,,,http://sf-encyclopedia.com/entry/gu_junzheng,ONLINE SOURCE,,,,,,,2021-04-05,MG,2021-04-05,MG
+++,P1102,Liu,Ji‘an,en,unknown,unknown,1956,,NULL,PL0004,,,,http://www.isfdb.org/cgi-bin/ea.cgi?258487,ONLINE SOURCE,,,,,,,2021-02-24,MG,2021-04-05,MG
+++,P1102,刘,继安,zh,unknown,unknown,1956,,NULL,PL0004,,,,http://www.isfdb.org/cgi-bin/ea.cgi?258487,ONLINE SOURCE,,,,,,,2021-04-05,MG,2021-04-05,MG
+++,P1103,Zhen,Wenguang,en,male,NULL,1929,2003,NULL,PL0645,,,,https://en.wikipedia.org/wiki/Zheng_Wenguang,ONLINE SOURCE,,,,,,,2021-02-27,MG,2021-03-09,MG
+++,P1103,郑,文光,zh,male,NULL,1929,2003,NULL,PL0645,,,,https://en.wikipedia.org/wiki/Zheng_Wenguang,ONLINE SOURCE,,,,,,,2021-02-27,MG,2021-03-09,MG
+++,P1104,Jiang,Yunsheng,en,male,unknown,1944,,NULL,PL0003,,,,https://baike.baidu.com/item/%E5%A7%9C%E4%BA%91%E7%94%9F/13383138,ONLINE SOURCE,,,,,,,2021-02-27,MG,2021-04-05,MG
+++,P1104,姜,云生,zh,male,unknown,1944,,NULL,PL0003,,,,https://baike.baidu.com/item/%E5%A7%9C%E4%BA%91%E7%94%9F/13383138,ONLINE SOURCE,,,,,,,2021-04-05,MG,2021-04-05,MG
+++,P1105,Han,Song,en,male,NULL,1965,,NULL,PL0012,,,,https://en.wikipedia.org/wiki/Han_Song_(writer),ONLINE SOURCE,,,,,,,2021-02-27,MG,2021-03-09,MG
+++,P1105,韩,松,zh,male,NULL,1965,,NULL,PL0012,,,,https://en.wikipedia.org/wiki/Han_Song_(writer),ONLINE SOURCE,,,,,,,2021-03-09,MG,2021-03-09,MG
+++,P1106,Wang,Yao,en,female,NULL,1984,,Xia Jia,PL0182,,,,https://en.wikipedia.org/wiki/Xia_Jia,ONLINE SOURCE,,,,,,,2021-02-27,MG,2021-03-08,MG
+++,P1106,王,瑶,zh,female,NULL,1984,,夏笳,PL0182,,,,https://en.wikipedia.org/wiki/Xia_Jia,ONLINE SOURCE,,,,,,,2021-03-08,MG,2021-03-08,MG
+++,P1107,Chen,Quifan,en,male,NULL,1981,,Stanley Chan,PL0644,,,,https://en.wikipedia.org/wiki/Chen_Qiufan,ONLINE SOURCE,,,,,,,2021-02-27,MG,2021-03-09,MG
+++,P1107,陈,秋帆,zh,male,NULL,1981,,NULL,PL0644,,,,https://en.wikipedia.org/wiki/Chen_Qiufan,ONLINE SOURCE,,,,,,,2021-02-27,MG,2021-03-09,MG
+++,P1108,Hao,Jingfang,en,female,NULL,1984,,NULL,PL0018,,,,https://en.wikipedia.org/wiki/Hao_Jingfang,ONLINE SOURCE,,,,,,,2021-02-27,MG,2021-03-08,MG
+++,P1108,郝,景芳,zh,female,NULL,1984,,NULL,PL0018,,,,https://en.wikipedia.org/wiki/Hao_Jingfang,ONLINE SOURCE,,,,,,,2021-03-08,MG,2021-03-08,MG
+++,P1109,Chi,Hui,en,female,NULL,1984,,NULL,PL0655,,,,https://baike.baidu.com/item/%E8%BF%9F%E5%8D%89,ONLINE SOURCE,,,,,,,2021-02-27,MG,2021-04-05,MG
+++,P1109,迟,卉,zh,female,NULL,1984,,雪舞风华,PL0655,,,,https://baike.baidu.com/item/%E8%BF%9F%E5%8D%89,ONLINE SOURCE,,,,,,,2021-03-09,MG,2021-04-05,MG
+++,P1110,Wang,Jinkang,en,male,yes,1948,,NULL,PL0647,,,,https://baike.baidu.com/item/%E7%8E%8B%E6%99%8B%E5%BA%B7/954345,ONLINE SOURCE,,,,,,,2021-02-27,MG,2021-03-10,MG
+++,P1110,王,晋康,zh,male,yes,1948,,NULL,PL0647,,,,https://baike.baidu.com/item/%E7%8E%8B%E6%99%8B%E5%BA%B7/954345,ONLINE SOURCE,,,,,,,2021-03-10,MG,2021-03-10,MG
+++,P1111,Zhong,Xin,en,male,NULL,1977,,La La,PL0012,,,,http://www.sf-encyclopedia.com/entry/la_la,ONLINE SOURCE,,,,,,,2021-02-27,MG,2021-04-05,MG
+++,P1111,钟,欣,zh,male,NULL,1977,,拉拉,PL0012,,,,http://www.sf-encyclopedia.com/entry/la_la,ONLINE SOURCE,,,,,,,2021-04-05,MG,2021-04-05,MG
+++,P1112,Wu,Anna,en,female,NULL,1986,,NULL,PL0654,,,,https://paper-republic.org/pers/anna-wu/,ONLINE SOURCE,,,,,,,2021-02-27,MG,2021-04-05,MG
+++,P1112,吴,霜,zh,female,NULL,1986,,NULL,PL0654,,,,https://paper-republic.org/pers/anna-wu/,ONLINE SOURCE,,,,,,,2021-04-05,MG,2021-04-05,MG
+++,P1113,Cheng,Jingbo,en,female,NULL,1983,,NULL,PL0004,,,,http://sf-encyclopedia.com/entry/cheng_jingbo,ONLINE SOURCE,,,,,,,2021-03-03,MG,2021-04-05,MG
+++,P1113,程,婧波,zh,female,NULL,1983,,NULL,PL0004,,,,http://sf-encyclopedia.com/entry/cheng_jingbo,ONLINE SOURCE,,,,,,,2021-04-05,MG,2021-04-05,MG
+++,P1114,Liu,Ken,en,male,NULL,1976,,NULL,PL0074,,,,https://en.wikipedia.org/wiki/Ken_Liu,ONLINE SOURCE,,,,,,,2021-03-03,MG,2021-03-09,MG
+++,P1114,刘,宇昆,zh,male,NULL,1976,,NULL,PL0074,,,,https://en.wikipedia.org/wiki/Ken_Liu,ONLINE SOURCE,,,,,,,2021-03-09,MG,2021-03-09,MG
+++,P1115,Tang,Fei,en,female,NULL,1983,,Wang Jing,PL0003,,,,https://en.wikipedia.org/wiki/Tang_Fei_(writer),ONLINE SOURCE,,,,,,,2021-03-03,MG,2021-03-09,MG
+++,P1115,糖,匪,zh,female,NULL,1983,,NULL,PL0003,,,,https://en.wikipedia.org/wiki/Tang_Fei_(writer),ONLINE SOURCE,,,,,,,2021-03-09,MG,2021-03-09,MG
+++,P1116,Wang,Regina Kanyu,en,female,NULL,1990,,NULL,PL0003,,,,https://www.facebook.com/regina.kanyu.wang,ONLINE SOURCE,,,,,,,2021-03-03,MG,2021-03-09,MG
+++,P1116,王,侃瑜,zh,female,NULL,1990,,NULL,PL0003,,,,https://www.facebook.com/regina.kanyu.wang,ONLINE SOURCE,,,,,,,2021-03-03,MG,2021-03-09,MG
+++,P1117,Chi,Shuchang,en,male,unknown,1922,1997,NULL,PL0019,,,,http://sf-encyclopedia.com/entry/chi_shuchang,ONLINE SOURCE,,,,,,was Chi rusticated?,2021-03-03,MG,2021-03-09,MG
+++,P1117,迟,叔唱,zh,male,unknown,1922,1997,NULL,PL0019,,,,http://sf-encyclopedia.com/entry/chi_shuchang,ONLINE SOURCE,,,,,,was Chi rusticated?,2021-03-03,MG,2021-03-09,MG
+++,P1118,Yu,Zhi,en,male,NULL,1900..1980~,,NULL,PL0999,,,,SS00652,,,,F,,,age and narrative status need to be added,2021-03-03,MG,2021-03-10,MG
+++,P1118,于,止,zh,male,NULL,1900..1980~,,NULL,PL0999,,,,SS00652,,,,F,,,age and narrative status need to be added,2021-03-03,MG,2021-03-10,MG
+++,P1119,Huang,Yi,en,male,no,1952,2017,Wong Yee,PL0017,,,,https://en.wikipedia.org/wiki/Huang_Yi_(author),ONLINE SOURCE,,,,,,,2021-03-04,MG,2021-03-09,MG
+++,P1119,黄,伊,zh,male,no,1952,2017,黃易,PL0017,,,,https://en.wikipedia.org/wiki/Huang_Yi_(author),ONLINE SOURCE,,,,,,,2021-03-04,MG,2021-03-09,MG
+++,P1120,Ma,Boyong,en,male,NULL,1980,,NULL,PL0192,,,,https://en.wikipedia.org/wiki/Ma_Boyong,ONLINE SOURCE,,,,,,,2021-03-04,MG,2021-03-09,MG
